Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Segment
CUST-1000,251,4,2109.27,4,4,1,441,9,Potential Loyalists
CUST-1002,583,3,38462.399999999994,3,3,5,335,11,Loyal Customers
CUST-1003,843,4,6941.31,2,4,3,243,9,At Risk
CUST-1004,1686,4,12276.050000000001,1,4,3,143,8,At Risk
CUST-1005,1529,3,16126.23,1,3,4,134,8,At Risk
CUST-1006,1519,2,8184.08,1,1,3,113,5,Lost
CUST-1007,291,3,5832.0199999999995,4,3,2,432,9,Potential Loyalists
CUST-1009,217,3,2838.0600000000004,4,3,2,432,9,Potential Loyalists
CUST-1010,1324,1,2470.5,2,1,1,211,4,Lost
CUST-1011,478,2,34779.600000000006,3,1,5,315,9,Potential Loyalists
CUST-1012,1702,2,766.97,1,1,1,111,3,Lost
CUST-1013,705,5,13515.59,3,5,4,354,12,Loyal Customers
CUST-1014,555,2,3136.9900000000002,3,1,2,312,6,Potential Loyalists
CUST-1015,584,3,24059.3,3,3,4,334,10,Loyal Customers
CUST-1016,417,3,27875.159999999996,4,3,5,435,12,Loyal Customers
CUST-1017,740,2,3554.0299999999997,3,1,2,312,6,Potential Loyalists
CUST-1018,112,3,9828.85,5,3,3,533,11,Loyal Customers
CUST-1019,2604,2,9278.11,1,1,3,113,5,Lost
CUST-1020,520,2,30621.09,3,1,5,315,9,Potential Loyalists
CUST-1021,2632,1,454.79999999999995,1,1,1,111,3,Lost
CUST-1022,2302,1,1049.58,1,1,1,111,3,Lost
CUST-1023,677,3,2846.65,3,3,2,332,8,Potential Loyalists
CUST-1024,1116,4,30041.010000000002,2,4,5,245,11,At Risk
CUST-1025,1309,2,18580.5,2,1,4,214,7,Lost
CUST-1026,450,3,39058.55,4,3,5,435,12,Loyal Customers
CUST-1027,60,2,4073.5299999999997,5,1,2,512,8,New Customers
CUST-1028,668,3,2230.33,3,3,1,331,7,Potential Loyalists
CUST-1029,2036,4,22053.59,1,4,4,144,9,At Risk
CUST-1030,326,5,11019.98,4,5,3,453,12,Loyal Customers
CUST-1031,972,1,16320.599999999999,2,1,4,214,7,Lost
CUST-1032,398,6,44882.26,4,5,5,455,14,Champions
CUST-1033,54,3,6621.120000000001,5,3,3,533,11,Loyal Customers
CUST-1035,788,10,69739.20999999999,3,5,5,355,13,Loyal Customers
CUST-1036,149,2,39329.03,5,1,5,515,11,New Customers
CUST-1037,942,4,11401.85,2,4,3,243,9,At Risk
CUST-1038,549,4,2440.87,3,4,1,341,8,Potential Loyalists
CUST-1039,913,5,12085.48,2,5,3,253,10,At Risk
CUST-1040,182,4,37768.49999999999,5,4,5,545,14,Champions
CUST-1041,424,4,5848.02,4,4,2,442,10,Potential Loyalists
CUST-1042,782,2,15145.5,3,1,4,314,8,Potential Loyalists
CUST-1043,44,6,9188.17,5,5,3,553,13,Loyal Customers
CUST-1044,1503,1,80.41000000000001,1,1,1,111,3,Lost
CUST-1045,626,3,7388.74,3,3,3,333,9,Loyal Customers
CUST-1046,1022,1,36973.35,2,1,5,215,8,Lost
CUST-1047,1058,3,18734.770000000004,2,3,4,234,9,At Risk
CUST-1048,92,6,75591.06999999999,5,5,5,555,15,Champions
CUST-1049,774,2,11564.650000000001,3,1,3,313,7,Potential Loyalists
CUST-1050,1101,4,64604.97,2,4,5,245,11,At Risk
CUST-1051,53,7,73026.52,5,5,5,555,15,Champions
CUST-1052,16,3,15541.84,5,3,4,534,12,Loyal Customers
CUST-1053,240,4,30155.49,4,4,5,445,13,Champions
CUST-1054,542,4,3281.94,3,4,2,342,9,Potential Loyalists
CUST-1055,774,1,7686.379999999999,3,1,3,313,7,Potential Loyalists
CUST-1056,852,4,25987.93,2,4,4,244,10,At Risk
CUST-1057,840,2,2436.6600000000003,2,1,1,211,4,Lost
CUST-1058,323,2,1584.69,4,1,1,411,6,New Customers
CUST-1059,352,5,7947.21,4,5,3,453,12,Loyal Customers
CUST-1060,2189,1,216.48000000000002,1,1,1,111,3,Lost
CUST-1061,51,1,747.54,5,1,1,511,7,New Customers
CUST-1062,266,3,5725.84,4,3,2,432,9,Potential Loyalists
CUST-1064,157,4,6079.86,5,4,2,542,11,Potential Loyalists
CUST-1065,95,7,10638.099999999999,5,5,3,553,13,Loyal Customers
CUST-1066,243,5,26711.219999999998,4,5,4,454,13,Champions
CUST-1067,82,4,6878.77,5,4,3,543,12,Loyal Customers
CUST-1068,1199,2,1685.5,2,1,1,211,4,Lost
CUST-1069,31,5,23420.079999999998,5,5,4,554,14,Champions
CUST-1070,529,4,40771.45,3,4,5,345,12,Loyal Customers
CUST-1071,489,2,15521.439999999999,3,1,4,314,8,Potential Loyalists
CUST-1072,1622,1,15744.0,1,1,4,114,6,Lost
CUST-1073,2341,1,1041.18,1,1,1,111,3,Lost
CUST-1074,79,2,978.04,5,1,1,511,7,New Customers
CUST-1075,1378,3,41798.979999999996,1,3,5,135,9,At Risk
